Timestamp,moradorOuSeguranca,casaOuPredios,cidadeCasas,qntdCasas,1a5seguroCasas,1a5segurancaCasas,problemas,problemasDescricaoCasas,temCamerasCasas,camerasSuficientesCasas,moraComDependenteCasas,dependenteTransitaSoCasas,preocupadoDependenteAndarSoCasas,avisadoDependenteSoCasas,cidadePredios,qntdBlocosPredios,andaresPredios,1a5seguroPredios,1a5segurancaPredios,problemasPredios,descricaoPredios,temCamerasPredios,camerasSuficientesPredios,"MoraComDependentesPredios
distúrbios)",dependenteTansitaSoPredios,"PreocupadoDependenteAndarSoPredios
acompanhamento?",avisadoDependenteSoPredios,trabalhaCasaPredio,cidadeTrabalhaPredio,seguranca1a5trabalhaPredio,controleDeAcessoPredios,temCameraTrabalhaPredios,"CamerasSuficientesTrabalhaPredios
comuns?",problemasTrabalhaPredio,descricaoTrabalhaPredio,cidadeTrabalhaCasas,1a5segurancaTrabalhaCasas,Qual controle de acesso seu condomínio possui?,temCamerasTrabalhaCasas,camerasSuficientesCasas,problemasTrabalhaCasa,descricaoProblemaTrabalhaCasa
10/21/2024 13:14:25,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Betim ,De 6 a 11 blocos,De 3-8 andares,3,3,Sim,"Invasão de uma pessoa em surto. Pulou o muro, entrou pela janela do apartamento do segundo andar, saiu pela porta de entrada, subiu para a cobertura, pulou, caindo no telhado do primeiro andar. Estou novamente em outro apartamento pela janela do segundo andar e se escondeu dentro do quarto colocado um móvel na porta para ninguém entrar. Ficando lá até a policia e samu chegar.",Sim,Não,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:14:28,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Aracaju ,Até 6 blocos,De 3-8 andares,5,3,Não,,Sim,Sim,Não,,Sim,Não,,,,,,,,,,,,,,,
10/21/2024 13:14:37,Morador,Moro em um condomínio de Casas,Uberaba/mg ,Mais de 10 quadras,4,4,Não,,Sim,Sim,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:14:41,Morador,Moro em um condomínio de Casas,Uberlândia ,Até 5 quadras,4,4,Não,,Sim,Sim,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:14:52,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Sao Paulo ,Mais de 11 blocos,Mais de 8 andares,2,1,Sim,Baloeiros pularam os muros para pegar um balão e uma pessoa desconhecida entrou no condomínio e levou um carro que estava na garagem.,Sim,Sim,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:14:55,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,São José da coroa grande ,Até 6 blocos,Mais de 8 andares,4,3,Não,,Sim,Não,Não,,,Sim,,,,,,,,,,,,,,,
10/21/2024 13:14:55,Morador,Moro em um condomínio de Casas,Barra Dos Coqueiros ,Mais de 10 quadras,4,5,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:14:56,Segurança,,,,,,,,,,,,,,,,,,,,,,,,,,,Trabalho em um condomínio de Prédios,,,,,,,,São paulo ,4,Porteiro,Sim,Não,Não,
10/21/2024 13:15:00,Segurança,,,,,,,,,,,,,,,,,,,,,,,,,,,Trabalho em um condomínio de Casas,ARARUAMA -RJ,5,Porteiro,Sim,Sim,Não,,,,,,,,
10/21/2024 13:15:01,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Rio de Janeiro ,Até 6 blocos,De 3-8 andares,2,2,Sim,Roubo de bicicleta ,Sim,Não,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,
